TABLE 12: EMPLOYMENT BY SECTOR AS AT DECEMBER 2020,,,,,,,,,,
Employment_by_Sector,Male(Micro),Female(Micro),Male(2020),Female(2020),Male(2017),Female(2017),Male(2013),Female(2013),,
Manufacturing,5763161,1232210,1230587,391597,"133,879","76,527",179213,348505,,
Mining & Quarrying,162877,14954,24126,34020,"15,161","6,569",3500,12220,,
Accomodation & Food Services,4796232,2869744,378627,494357,"10,647","4,462",106525,55989,,
Agriculture,7875,61913,104799,80766,"1,310",544,21952,67326,,
Wholesale/ Retail Trade,1139901,72417,1034908,371183,"8,736","1,433",223100,108595,,
Construction,16122951,14155462,104304,33614,"505,197","560,558",6794,51319,,
Transport & Storage,2224601,133773,91869,35916,"270,722","341,900",12211,33267,,
Information And Communication,1107644,550771,127703,90784,"5,794","3,251",6656,12494,,
Education,1107644,1826697,644492,854685,"456,690","150,808",388981,104210,,
Administrative And Support Service Activities,459337,157619,155045,96262,"7,940","5,358",42567,48842,,
"Arts, Entertainment And Recreation",1107644,550771,68114,50300,"24,755","14,606",3714,2278,,
Others Services Activities,301778,62209,112752,115445,"46,514","38,968",38322,24304,,
"Water Supply, Sewerage, Waste Management And Remedation Activities",261087,194445,6636,38119,"8,029","2,664",365,569,,
Real Estate Activities,1107644,550771,81126,46286,"26,639","6,072",9503,28786,,
Human Health & Social Works,606658,225805,132783,206280,279,79,9503,28786,,
"Professional, Scientific And Technical Works",2156202,1539746,160316,100784,"112,396","41,228",9503,28786,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
