TABLE 40:    COMPARISM  OF PERFORMANCE,,,,,,,,,,,
Severity,Enterprises(2019 With 2020),Enterprises(2018 With 2019),"Enterprises(2016, With 2017)","Enterprises(2015, With 2016)",,,,,,,
Better,321618,852738,37944,49282,,,,,,,
Worse,466625,107769,14745,8826,,,,,,,
Same,196562,163245,17734,12455,,,,,,,
Don'T Know,256160,117213,2658,2518,,,,,,,
Wholesale/ Retail Trade,1240965,1240965,73081,73081,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
